pair_family,pair_id,source_task,target_task,num_experts,top_k,fixed_k,mean_acc,std_acc,mean_delta_vs_dynamic,num_runs
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,8,4,0.5880000057220459,,0.5880000057220459,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,8,6,0.5899999990463257,,0.5899999990463257,1
p01,p01_vehicles2_to_vehicles1,vehicles2,vehicles1,32,8,8,0.5980000033378601,,0.5980000033378601,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,8,4,0,0.6240000033378601,,0.6240000033378601,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,8,4,1,0.6480000009536743,,0.6480000009536743,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,8,4,2,0.665999993801117,,0.665999993801117,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,8,4,3,0.622000005722046,,0.622000005722046,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,8,4,4,0.6179999961853028,,0.6179999961853028,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,4,0,0.651999993801117,,0.651999993801117,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,4,1,0.6259999961853028,,0.6259999961853028,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,4,2,0.5880000057220459,,0.5880000057220459,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,4,3,0.6120000033378601,,0.6120000033378601,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,4,4,0.6299999985694885,,0.6299999985694885,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,6,0,0.6399999961853028,,0.6399999961853028,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,6,1,0.6320000057220458,,0.6320000057220458,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,6,2,0.6680000052452088,,0.6680000052452088,1
