run_id,pair_id,source_task,target_task,direction,mode,transfer_mode,epoch_budget,seed,E,K,F,fixed_ratio,approx_runtime_sec,approx_runtime_min,best_test_acc,final_test_acc,config_snapshot_mtime,run_summary_mtime,has_metrics_history
fix_vehicles1_to_vehicles2_E8_K4_F4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,pure_fixed,50,1,8,4,4,1.0,42.572,0.71,0.8159999928474426,0.8199999971389771,1775843252.2288418,1775843294.8004131,True
dyn_vehicles1_to_vehicles2_E16_K4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,target_dynamic,pure_dynamic,50,1,16,4,0,0.0,50.938,0.849,0.7799999928474426,0.7700000019073486,1775842493.2267454,1775842544.164607,True
hyb_vehicles1_to_vehicles2_E16_K4_F1_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,16,4,1,0.25,49.424,0.824,0.8479999923706054,0.7980000042915344,1775843297.720654,1775843347.1446538,True
hyb_vehicles1_to_vehicles2_E16_K4_F2_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,16,4,2,0.5,49.404,0.823,0.8219999947547912,0.7880000019073486,1775843350.0368836,1775843399.4407399,True
hyb_vehicles1_to_vehicles2_E16_K4_F3_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,16,4,3,0.75,50.16,0.836,0.8239999947547912,0.7659999952316284,1775843402.3409622,1775843452.5007465,True
fix_vehicles1_to_vehicles2_E16_K4_F4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,pure_fixed,50,1,16,4,4,1.0,49.538,0.826,0.8279999923706055,0.782,1775842895.5050342,1775842945.0427928,True
dyn_vehicles1_to_vehicles2_E16_K6_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,target_dynamic,pure_dynamic,50,1,16,6,0,0.0,50.001,0.833,0.8379999990463257,0.7999999995231628,1775842547.0451436,1775842597.0461195,True
hyb_vehicles1_to_vehicles2_E16_K6_F1_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,16,6,1,0.16666666666666666,50.732,0.846,0.8379999990463257,0.7700000042915345,1775843455.456966,1775843506.1886723,True
hyb_vehicles1_to_vehicles2_E16_K6_F2_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,16,6,2,0.3333333333333333,50.88,0.848,0.8119999971389771,0.8099999923706055,1775843509.0408776,1775843559.9204848,True
hyb_vehicles1_to_vehicles2_E16_K6_F4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,16,6,4,0.6666666666666666,48.719,0.812,0.8079999923706055,0.7939999923706055,1775843562.840689,1775843611.56005,True
fix_vehicles1_to_vehicles2_E16_K6_F6_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,pure_fixed,50,1,16,6,6,1.0,49.149,0.819,0.7920000042915344,0.7900000042915344,1775842947.9631226,1775842997.1125264,True
dyn_vehicles1_to_vehicles2_E16_K8_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,target_dynamic,pure_dynamic,50,1,16,8,0,0.0,50.312,0.839,0.8239999971389771,0.7860000019073486,1775842600.0466385,1775842650.359034,True
hyb_vehicles1_to_vehicles2_E16_K8_F1_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,16,8,1,0.125,51.783,0.863,0.8399999966621399,0.8019999928474426,1775843614.4282453,1775843666.2117276,True
hyb_vehicles1_to_vehicles2_E16_K8_F2_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,16,8,2,0.25,51.303,0.855,0.8240000014305114,0.75,1775843669.1319218,1775843720.4352896,True
hyb_vehicles1_to_vehicles2_E16_K8_F4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,16,8,4,0.5,51.219,0.854,0.8299999947547912,0.8079999923706055,1775843723.3474786,1775843774.5667675,True
