run_id,pair_id,source_task,target_task,direction,mode,transfer_mode,epoch_budget,seed,E,K,F,fixed_ratio,approx_runtime_sec,approx_runtime_min,best_test_acc,final_test_acc,config_snapshot_mtime,run_summary_mtime,has_metrics_history,dynamic_runtime_sec,dynamic_runtime_min,runtime_diff_sec_vs_dynamic,runtime_ratio_vs_dynamic
hyb_vehicles1_to_vehicles2_E16_K8_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,16,8,2,0.25,42.04,0.701,0.8119999947547912,0.8200000019073487,1775841015.3483212,1775841057.3879595,True,40.902,0.682,1.1379999999999981,1.0278226003618405
hyb_vehicles1_to_vehicles2_E16_K8_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,16,8,4,0.5,41.076,0.685,0.8200000019073487,0.8099999947547912,1775841060.2199388,1775841101.2956889,True,40.902,0.682,0.1739999999999995,1.004254070705589
hyb_vehicles1_to_vehicles2_E16_K8_F6_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,16,8,6,0.75,41.356,0.689,0.8060000042915344,0.7699999952316284,1775841104.2556744,1775841145.6115174,True,40.902,0.682,0.4540000000000006,1.011099701726077
fix_vehicles1_to_vehicles2_E16_K8_F8_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,pure_fixed,40,1,16,8,8,1.0,39.278,0.655,0.8200000014305114,0.7820000042915344,1775840469.9989996,1775840509.2767358,True,40.902,0.682,-1.6240000000000023,0.9602953400811696
dyn_vehicles1_to_vehicles2_E32_K4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,target_dynamic,pure_dynamic,40,1,32,4,0,0.0,50.542,0.842,0.8179999971389771,0.7939999947547912,1775840184.541706,1775840235.083607,True,50.542,0.842,0.0,1.0
hyb_vehicles1_to_vehicles2_E32_K4_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,32,4,1,0.25,51.752,0.863,0.8119999995231628,0.7760000019073486,1775841148.5395095,1775841200.2914348,True,50.542,0.842,1.2100000000000009,1.0239404851410707
hyb_vehicles1_to_vehicles2_E32_K4_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,32,4,2,0.5,50.744,0.846,0.8339999990463257,0.7780000019073486,1775841203.2474341,1775841253.991479,True,50.542,0.842,0.20199999999999818,1.003996676031815
hyb_vehicles1_to_vehicles2_E32_K4_F3_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,32,4,3,0.75,51.712,0.862,0.8399999947547913,0.7939999971389771,1775841256.9354846,1775841308.6476383,True,50.542,0.842,1.1700000000000017,1.0231490641446719
fix_vehicles1_to_vehicles2_E32_K4_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,pure_fixed,40,1,32,4,4,1.0,51.235,0.854,0.8140000019073487,0.7859999971389771,1775840512.1711054,1775840563.406469,True,50.542,0.842,0.6929999999999978,1.0137113687626131
dyn_vehicles1_to_vehicles2_E32_K6_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,target_dynamic,pure_dynamic,40,1,32,6,0,0.0,51.41,0.857,0.7679999976158142,0.7780000042915344,1775840238.0477178,1775840289.457635,True,51.41,0.857,0.0,1.0
hyb_vehicles1_to_vehicles2_E32_K6_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,32,6,1,0.16666666666666666,50.628,0.844,0.8020000019073487,0.7940000019073487,1775841311.57965,1775841362.2078953,True,51.41,0.857,-0.7819999999999965,0.9847889515658433
hyb_vehicles1_to_vehicles2_E32_K6_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,32,6,2,0.3333333333333333,52.344,0.872,0.7599999976158142,0.7979999971389771,1775841365.1999125,1775841417.5442553,True,51.41,0.857,0.9340000000000046,1.0181676716592103
hyb_vehicles1_to_vehicles2_E32_K6_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,32,6,4,0.6666666666666666,51.616,0.86,0.7819999928474426,0.7539999928474427,1775841420.4762769,1775841472.0926945,True,51.41,0.857,0.20600000000000307,1.004007002528691
fix_vehicles1_to_vehicles2_E32_K6_F6_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,pure_fixed,40,1,32,6,6,1.0,49.858,0.831,0.8179999947547912,0.7800000019073486,1775840566.344839,1775840616.202745,True,51.41,0.857,-1.5519999999999996,0.969811320754717
dyn_vehicles1_to_vehicles2_E32_K8_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,target_dynamic,pure_dynamic,40,1,32,8,0,0.0,50.79,0.846,0.8000000042915344,0.7840000019073486,1775840292.3537426,1775840343.143622,True,50.79,0.846,0.0,1.0
hyb_vehicles1_to_vehicles2_E32_K8_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,32,8,1,0.125,50.736,0.846,0.8119999947547912,0.7700000042915345,1775841475.0327203,1775841525.7692,True,50.79,0.846,-0.054000000000002046,0.998936798582398
hyb_vehicles1_to_vehicles2_E32_K8_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,32,8,2,0.25,50.341,0.839,0.8139999995231628,0.7939999971389771,1775841528.6212287,1775841578.9617658,True,50.79,0.846,-0.44899999999999807,0.9911596771017918
hyb_vehicles1_to_vehicles2_E32_K8_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,32,8,4,0.5,50.285,0.838,0.8039999995231628,0.7979999971389771,1775841581.833798,1775841632.1183891,True,50.79,0.846,-0.5050000000000026,0.9900570978539082
hyb_vehicles1_to_vehicles2_E32_K8_F6_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,40,1,32,8,6,0.75,52.361,0.873,0.7979999952316285,0.8059999971389771,1775841635.0304248,1775841687.3910925,True,50.79,0.846,1.570999999999998,1.0309312856861585
fix_vehicles1_to_vehicles2_E32_K8_F8_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,pure_fixed,40,1,32,8,8,1.0,50.886,0.848,0.8260000019073487,0.7799999947547913,1775840619.1506064,1775840670.0363941,True,50.79,0.846,0.09600000000000364,1.0018901358535146
dyn_vehicles1_to_vehicles2_E8_K4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,target_dynamic,pure_dynamic,50,1,8,4,0,0.0,43.069,0.718,0.8219999947547912,0.8060000014305114,1775842849.4433875,1775842892.5126762,True,43.069,0.718,0.0,1.0
hyb_vehicles1_to_vehicles2_E8_K4_F1_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,8,4,1,0.25,44.285,0.738,0.8279999971389771,0.8199999990463257,1775844500.2226138,1775844544.5077388,True,43.069,0.718,1.215999999999994,1.0282337644245279
hyb_vehicles1_to_vehicles2_E8_K4_F2_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,8,4,2,0.5,43.258,0.721,0.8340000014305115,0.8039999947547912,1775844547.4401283,1775844590.6977367,True,43.069,0.718,0.18900000000000006,1.0043883071350623
hyb_vehicles1_to_vehicles2_E8_K4_F3_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,hybrid,50,1,8,4,3,0.75,43.621,0.727,0.7839999952316284,0.8099999995231628,1775844593.6341085,1775844637.2555048,True,43.069,0.718,0.5519999999999996,1.0128166430611345
fix_vehicles1_to_vehicles2_E8_K4_F4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,vehicles1->vehicles2,hybrid_transfer,pure_fixed,50,1,8,4,4,1.0,42.572,0.71,0.8159999928474426,0.8199999971389771,1775843252.2288418,1775843294.8004131,True,43.069,0.718,-0.4969999999999999,0.988460377533725
