direction,epoch_budget,E,K,F,mean_runtime_sec,mean_runtime_diff_sec_vs_dynamic,mean_runtime_ratio_vs_dynamic,num_runs
vehicles1->vehicles2,50,32,8,6,63.891,2.1469999999999985,1.0347726094843224,1
vehicles1->vehicles2,50,32,8,8,62.469,0.7250000000000014,1.011742031614408,1
vehicles1->vehicles2,60,8,4,1,47.344,-1.3290000000000006,0.972695334168841,1
vehicles1->vehicles2,60,8,4,2,48.636,-0.036999999999999034,0.9992398249542868,1
vehicles1->vehicles2,60,8,4,3,46.952,-1.7210000000000036,0.9646415877385819,1
vehicles1->vehicles2,60,8,4,4,47.037,-1.6360000000000028,0.9663879358165718,1
vehicles1->vehicles2,60,16,4,1,56.257,2.3629999999999995,1.0438453260103164,1
vehicles1->vehicles2,60,16,4,2,56.185,2.291000000000004,1.0425093702452963,1
vehicles1->vehicles2,60,16,4,3,55.521,1.6270000000000024,1.030188889301221,1
vehicles1->vehicles2,60,16,4,4,55.69,1.7959999999999994,1.0333246743607822,1
vehicles1->vehicles2,60,16,6,1,56.861,2.290999999999997,1.0419827744181784,1
vehicles1->vehicles2,60,16,6,2,56.605,2.0349999999999966,1.0372915521348727,1
vehicles1->vehicles2,60,16,6,4,56.525,1.9549999999999983,1.0358255451713396,1
vehicles1->vehicles2,60,16,6,6,53.87,-0.7000000000000028,0.9871724390690855,1
vehicles1->vehicles2,60,16,8,1,56.845,0.33099999999999596,1.005856955798563,1
vehicles1->vehicles2,60,16,8,2,56.153,-0.3610000000000042,0.9936122022861591,1
vehicles1->vehicles2,60,16,8,4,56.258,-0.2560000000000002,0.9954701489896309,1
vehicles1->vehicles2,60,16,8,6,54.886,-1.6280000000000001,0.9711929787309339,1
vehicles1->vehicles2,60,16,8,8,55.614,-0.9000000000000057,0.984074742541671,1
vehicles1->vehicles2,60,32,4,1,71.039,0.34900000000000375,1.0049370490875655,1
vehicles1->vehicles2,60,32,4,2,71.055,0.3650000000000091,1.0051633894468808,1
vehicles1->vehicles2,60,32,4,3,70.484,-0.20600000000000307,0.9970858678738153,1
vehicles1->vehicles2,60,32,4,4,67.554,-3.1359999999999957,0.9556372895741972,1
vehicles1->vehicles2,60,32,6,1,71.619,1.2930000000000064,1.0183858032591078,1
vehicles1->vehicles2,60,32,6,2,70.683,0.35700000000001353,1.0050763586724685,1
vehicles1->vehicles2,60,32,6,4,72.48,2.1540000000000106,1.0306287859397665,1
vehicles1->vehicles2,60,32,6,6,70.598,0.27200000000000557,1.00386770184569,1
vehicles1->vehicles2,60,32,8,1,72.084,2.5940000000000083,1.0373291121024608,1
vehicles1->vehicles2,60,32,8,2,73.94,4.450000000000003,1.064037991077853,1
vehicles1->vehicles2,60,32,8,4,71.496,2.0060000000000002,1.0288674629443086,1
vehicles1->vehicles2,60,32,8,6,70.68,1.190000000000012,1.0171247661534035,1
vehicles1->vehicles2,60,32,8,8,67.874,-1.6159999999999997,0.9767448553748741,1
vehicles1->vehicles2,80,8,4,1,68.6855,2.7455,1.0416474349923794,2
vehicles1->vehicles2,80,8,4,2,69.423,3.482999999999997,1.0528327189661952,2
vehicles1->vehicles2,80,8,4,3,68.9825,3.042499999999997,1.0461407483263816,2
vehicles1->vehicles2,80,8,4,4,69.184,3.2439999999999927,1.0491878907343604,2
vehicles1->vehicles2,80,16,4,1,82.2065,5.015500000000003,1.065089580530779,2
vehicles1->vehicles2,80,16,4,2,82.906,5.715000000000003,1.0742707670407845,2
vehicles1->vehicles2,80,16,4,3,80.348,3.1570000000000036,1.041143259461367,2
vehicles1->vehicles2,80,16,4,4,79.235,2.044000000000004,1.0266057814667064,2
vehicles1->vehicles2,80,16,6,1,83.47,4.475999999999999,1.0568581566074209,2
vehicles1->vehicles2,80,16,6,2,80.383,1.3889999999999958,1.0174554125972488,2
vehicles1->vehicles2,80,16,6,4,83.895,4.900999999999996,1.062076939951378,2
vehicles1->vehicles2,80,16,6,6,78.029,-0.9649999999999963,0.9877794664713997,2
vehicles1->vehicles2,80,16,8,1,83.457,5.347999999999999,1.0684694702068276,2
vehicles1->vehicles2,80,16,8,2,83.68299999999999,5.573999999999998,1.0713618072192965,2
