epoch,seed,run_id,mode,E,K,F,best_val_epoch,best_val_acc,best_test_acc,final_test_acc,final_test_macro_f1,final_test_loss,routing_entropy,fixed_experts
40,1,hyb_vehicles1_to_vehicles2_E16_K6_F4_ep40_s1,hybrid_transfer,16,6,4,39,0.796,0.758,0.764,0.7565,0.7666,1.9109,"10,4,6,7"
40,1,fix_vehicles1_to_vehicles2_E16_K6_F6_ep40_s1,hybrid_transfer,16,6,6,38,0.796,0.824,0.748,0.7388,0.788,2.4404,"10,4,6,7,15,11"
40,1,dyn_vehicles1_to_vehicles2_E16_K8_ep40_s1,target_dynamic,16,8,0,36,0.804,0.794,0.82,0.8189,0.6054,1.9947,
40,1,hyb_vehicles1_to_vehicles2_E16_K8_F1_ep40_s1,hybrid_transfer,16,8,1,31,0.796,0.816,0.79,0.7874,0.6598,2.0334,6
40,1,hyb_vehicles1_to_vehicles2_E16_K8_F2_ep40_s1,hybrid_transfer,16,8,2,36,0.82,0.812,0.82,0.8196,0.5574,1.9857,"6,2"
40,1,hyb_vehicles1_to_vehicles2_E16_K8_F4_ep40_s1,hybrid_transfer,16,8,4,34,0.816,0.82,0.81,0.8085,0.6473,2.0494,"6,2,14,7"
40,1,hyb_vehicles1_to_vehicles2_E16_K8_F6_ep40_s1,hybrid_transfer,16,8,6,27,0.808,0.806,0.77,0.7662,0.7171,1.9808,"6,2,14,7,15,4"
40,1,fix_vehicles1_to_vehicles2_E16_K8_F8_ep40_s1,hybrid_transfer,16,8,8,36,0.796,0.82,0.782,0.7804,0.6808,2.3021,"6,2,14,7,15,4,11,13"
40,1,dyn_vehicles1_to_vehicles2_E32_K4_ep40_s1,target_dynamic,32,4,0,38,0.82,0.818,0.794,0.7924,0.6681,2.7452,
40,1,hyb_vehicles1_to_vehicles2_E32_K4_F1_ep40_s1,hybrid_transfer,32,4,1,27,0.808,0.812,0.776,0.7714,0.738,2.6541,23
40,1,hyb_vehicles1_to_vehicles2_E32_K4_F2_ep40_s1,hybrid_transfer,32,4,2,38,0.82,0.834,0.778,0.7715,0.7926,2.7253,"23,14"
40,1,hyb_vehicles1_to_vehicles2_E32_K4_F3_ep40_s1,hybrid_transfer,32,4,3,38,0.82,0.84,0.794,0.7931,0.6415,2.3963,"23,14,4"
40,1,fix_vehicles1_to_vehicles2_E32_K4_F4_ep40_s1,hybrid_transfer,32,4,4,30,0.816,0.814,0.786,0.78,0.7818,3.3484,"23,14,4,28"
40,1,dyn_vehicles1_to_vehicles2_E32_K6_ep40_s1,target_dynamic,32,6,0,36,0.796,0.768,0.778,0.7714,0.7343,2.7747,
40,1,hyb_vehicles1_to_vehicles2_E32_K6_F1_ep40_s1,hybrid_transfer,32,6,1,37,0.832,0.802,0.794,0.7884,0.7091,2.7909,23
40,1,hyb_vehicles1_to_vehicles2_E32_K6_F2_ep40_s1,hybrid_transfer,32,6,2,36,0.812,0.76,0.798,0.795,0.6512,2.678,"23,14"
40,1,hyb_vehicles1_to_vehicles2_E32_K6_F4_ep40_s1,hybrid_transfer,32,6,4,34,0.8,0.782,0.754,0.7427,0.7868,2.8016,"23,14,5,7"
40,1,fix_vehicles1_to_vehicles2_E32_K6_F6_ep40_s1,hybrid_transfer,32,6,6,38,0.808,0.818,0.78,0.768,0.8076,3.2795,"23,14,5,7,3,18"
40,1,dyn_vehicles1_to_vehicles2_E32_K8_ep40_s1,target_dynamic,32,8,0,36,0.82,0.8,0.784,0.7801,0.6969,2.8074,
40,1,hyb_vehicles1_to_vehicles2_E32_K8_F1_ep40_s1,hybrid_transfer,32,8,1,37,0.804,0.812,0.77,0.7615,0.7908,2.8261,23
40,1,hyb_vehicles1_to_vehicles2_E32_K8_F2_ep40_s1,hybrid_transfer,32,8,2,38,0.828,0.814,0.794,0.7905,0.7625,2.7136,"23,10"
