run_id,pair_id,source_task,target_task,epoch,seed,mode,E,K,F,best_val_epoch,best_test_acc_at_best_val_epoch,true_max_test_acc,epoch_of_true_max_test_acc,final_test_acc
hyb_vehicles1_to_vehicles2_E32_K6_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,32,6,4,34,0.7819999928474426,0.8279999947547912,31,0.7539999928474427
fix_vehicles1_to_vehicles2_E32_K6_F6_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,32,6,6,38,0.8179999947547912,0.8260000019073487,27,0.7800000019073486
dyn_vehicles1_to_vehicles2_E32_K8_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,target_dynamic,32,8,0,36,0.8000000042915344,0.8219999947547912,29,0.7840000019073486
hyb_vehicles1_to_vehicles2_E32_K8_F1_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,32,8,1,37,0.8119999947547912,0.8119999971389771,25,0.7700000042915345
hyb_vehicles1_to_vehicles2_E32_K8_F2_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,32,8,2,38,0.8139999995231628,0.8219999923706055,29,0.7939999971389771
hyb_vehicles1_to_vehicles2_E32_K8_F4_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,32,8,4,27,0.8039999995231628,0.8280000038146973,39,0.7979999971389771
hyb_vehicles1_to_vehicles2_E32_K8_F6_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,32,8,6,28,0.7979999952316285,0.8240000014305114,38,0.8059999971389771
fix_vehicles1_to_vehicles2_E32_K8_F8_ep40_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,40,1,hybrid_transfer,32,8,8,38,0.8260000019073487,0.8260000019073487,38,0.7799999947547913
dyn_vehicles1_to_vehicles2_E8_K4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,target_dynamic,8,4,0,49,0.8219999947547912,0.8260000042915344,40,0.8060000014305114
hyb_vehicles1_to_vehicles2_E8_K4_F1_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,8,4,1,47,0.8279999971389771,0.8300000038146973,32,0.8199999990463257
hyb_vehicles1_to_vehicles2_E8_K4_F2_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,8,4,2,46,0.8340000014305115,0.8340000014305115,46,0.8039999947547912
hyb_vehicles1_to_vehicles2_E8_K4_F3_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,8,4,3,42,0.7839999952316284,0.8400000038146973,49,0.8099999995231628
fix_vehicles1_to_vehicles2_E8_K4_F4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,8,4,4,47,0.8159999928474426,0.8539999947547913,44,0.8199999971389771
dyn_vehicles1_to_vehicles2_E16_K4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,target_dynamic,16,4,0,34,0.7799999928474426,0.8280000038146973,45,0.7700000019073486
hyb_vehicles1_to_vehicles2_E16_K4_F1_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,16,4,1,44,0.8479999923706054,0.8479999923706054,44,0.7980000042915344
hyb_vehicles1_to_vehicles2_E16_K4_F2_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,16,4,2,43,0.8219999947547912,0.8440000038146973,46,0.7880000019073486
hyb_vehicles1_to_vehicles2_E16_K4_F3_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,16,4,3,31,0.8239999947547912,0.8400000038146973,46,0.7659999952316284
fix_vehicles1_to_vehicles2_E16_K4_F4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,16,4,4,46,0.8279999923706055,0.8420000038146973,31,0.782
dyn_vehicles1_to_vehicles2_E16_K6_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,target_dynamic,16,6,0,46,0.8379999990463257,0.8379999990463257,46,0.7999999995231628
hyb_vehicles1_to_vehicles2_E16_K6_F1_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,16,6,1,46,0.8379999990463257,0.8399999995231628,44,0.7700000042915345
hyb_vehicles1_to_vehicles2_E16_K6_F2_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,16,6,2,46,0.8119999971389771,0.8440000057220459,49,0.8099999923706055
hyb_vehicles1_to_vehicles2_E16_K6_F4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,16,6,4,46,0.8079999923706055,0.8179999947547912,45,0.7939999923706055
fix_vehicles1_to_vehicles2_E16_K6_F6_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,16,6,6,22,0.7920000042915344,0.8239999990463257,31,0.7900000042915344
dyn_vehicles1_to_vehicles2_E16_K8_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,target_dynamic,16,8,0,49,0.8239999971389771,0.8420000038146973,46,0.7860000019073486
hyb_vehicles1_to_vehicles2_E16_K8_F1_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,16,8,1,49,0.8399999966621399,0.8400000014305115,46,0.8019999928474426
hyb_vehicles1_to_vehicles2_E16_K8_F2_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,16,8,2,49,0.8240000014305114,0.8340000014305115,45,0.75
hyb_vehicles1_to_vehicles2_E16_K8_F4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,16,8,4,46,0.8299999947547912,0.8339999923706055,36,0.8079999923706055
hyb_vehicles1_to_vehicles2_E16_K8_F6_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,16,8,6,27,0.8079999952316285,0.8500000014305115,46,0.8120000038146973
